"ASV","treatment","Est","pval","pval.holm","SE","t.val","sampletype","week"
"ASV391","lg",-1.85591218430342,0.412081429095331,0.996714373957377,2.25677821558148,-0.940820677931568,"feces","Week 2"
"ASV393","cdiff",-0.293916611151474,0.499041822955263,0.994745258698858,2.20121680157403,-0.197920000699532,"feces","Week 2"
"ASV393","Intercept",-2.85651814408266,0.201234962650564,0.972792004141339,1.55649532725476,-1.84872795077891,"feces","Week 2"
"ASV393","la",-0.0201668407392473,0.491584892417872,1,2.20121680157403,-0.087832103190168,"feces","Week 2"
"ASV393","lg",3.42232864543668,0.218711785169343,0.990724132955057,2.20121680157403,1.62121984552365,"feces","Week 2"
"ASV398","cdiff",-0.296411184062859,0.516805152684135,0.990332048404615,2.21622687130713,-0.171937383070245,"feces","Week 2"
"ASV398","Intercept",-2.89858119037492,0.189715349047827,0.935126318081112,1.56710904934912,-1.90354637208203,"feces","Week 2"
"ASV398","la",-0.106405789885938,0.479433183018537,0.996356099606129,2.21622687130714,-0.0499688160128826,"feces","Week 2"
"ASV398","lg",3.81731785010615,0.189370285046236,0.968547710930826,2.21622687130714,1.84102791267133,"feces","Week 2"
"ASV4","cdiff",0.179891451499575,0.656479410784598,1,3.00588503175563,0.0410955719849847,"feces","Week 2"
"ASV4","Intercept",-1.60994506114473,0.520792673879248,1,2.12548168942155,-0.719241352332758,"feces","Week 2"
"ASV4","la",1.78484634568595,0.547211717957571,1,3.00588503175563,0.612206747238538,"feces","Week 2"
"ASV4","lg",4.5833235931728,0.196738032222865,1,3.00588503175563,1.56716866240413,"feces","Week 2"
"ASV40","cdiff",2.53854995891461,0.506089635447075,1,3.6253210441205,0.717184616148706,"feces","Week 2"
"ASV40","Intercept",2.26404801800627,0.412388639847,1,2.5634890942759,0.941339471246521,"feces","Week 2"
"ASV40","la",-3.06661489097275,0.446615061190491,1,3.62532104412051,-0.873084935854208,"feces","Week 2"
"ASV40","lg",-5.88749009069779,0.171736519017126,0.999741769121548,3.62532104412051,-1.66912472150037,"feces","Week 2"
"ASV400","cdiff",-0.514304316125505,0.518676361400799,0.994494868577945,2.3202519362294,-0.274840953272634,"feces","Week 2"
"ASV400","Intercept",-2.72747381010371,0.207440223618131,0.984912512159543,1.64066587816903,-1.70119911169924,"feces","Week 2"
"ASV400","la",-0.445193805542811,0.556572055790438,1,2.3202519362294,-0.224794422123922,"feces","Week 2"
"ASV400","lg",0.541931967480741,0.581842529894222,1,2.3202519362294,0.254716739756214,"feces","Week 2"
"ASV402","cdiff",2.54980226570419,0.359789572884607,0.995875257852651,2.43391951938048,1.1404860725248,"feces","Week 2"
"ASV402","Intercept",-2.60651834805051,0.23605155417701,0.990382520819546,1.72104099701624,-1.55752642464009,"feces","Week 2"
"ASV402","la",-0.325292002029279,0.579498942328077,1,2.43391951938048,-0.139061303949143,"feces","Week 2"
"ASV402","lg",-1.20395010452778,0.467481228838437,1,2.43391951938048,-0.489134233983691,"feces","Week 2"
"ASV41","cdiff",-0.391189910652589,0.423507755999105,1,0.458715143580027,-0.861889686768975,"feces","Week 2"
"ASV41","Intercept",8.0451948243937,1.82625873768147e-11,5.70340384452469e-09,0.324360588658398,24.9612255701556,"feces","Week 2"
"ASV41","la",-1.039603753614,0.0501639320000813,1,0.458715143580027,-2.27949999701725,"feces","Week 2"
"ASV41","lg",-1.53384518480023,0.00739514820131906,0.888048026892709,0.458715143580027,-3.36590907043207,"feces","Week 2"
"ASV418","cdiff",-4.82175612276189,0.100088923733621,0.912254899420316,2.15787040706979,-2.43803338993921,"feces","Week 2"
"ASV418","Intercept",1.6658754725501,0.317653793740041,1,1.52584479776083,1.27058974775516,"feces","Week 2"
